=== TigerIngest in application.log ===
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:50 - [TigerIngest] importScreenCapture: begin — tradeDate=2026-06-17, totalRows=180
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SRXH, price=0.19, volume=186000000, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=POAS, price=0.351, volume=581900, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GRML, price=0.3231, volume=5281800, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=YYGH, price=0.141, volume=192000000, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GSUN, price=0.486, volume=880000, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SAFX, price=0.3671, volume=7356200, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SHFS, price=0.2848, volume=2467000, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=ITOC, price=0.3539, volume=96700, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SURG, price=0.44, volume=211700, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GLE, price=0.4989, volume=516900, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=CXAI, price=0.2187, volume=7743500, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=GCL, price=0.4675, volume=386300, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SCNX, price=0.382, volume=336600, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=SBEV, price=0.198, volume=2298500, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=TPET, price=0.3026, volume=1284100, date=2026-06-17
2026-06-18 05:26:14 [http-nio-8090-exec-1] INFO  c.s.i.s.i.TigerWatchlistIngestServiceImpl:97 - [TigerIngest] importScreenCapture: save symbol=COSM, price=0.2498, volume=33621500, date=2026-06-17
